# 3D Systems, Inc.
# New Model
-56.1027862 -21.2018676 -86.3175690
-56.3321225 -20.7145065 -84.3362212
-55.6161851 -21.6682386 -85.8546346
-55.7794906 -21.3750415 -85.2422044
-55.3081594 -21.5956941 -85.5683535
-56.5509051 -20.1995987 -82.2370797
-56.6166341 -20.6211861 -82.2233558
-56.6563979 -20.1491229 -83.4812373
-56.7377545 -19.8078956 -82.8044862
-56.4074554 -19.6225084 -83.2547918
-56.5280877 -19.3113461 -82.7539042
-56.3870817 -19.4601715 -82.2635666
-56.3093908 -19.9979749 -86.2462297
-55.8533445 -20.2533156 -86.3038525
-55.8566898 -20.6263121 -86.3631517
-56.2612824 -20.1320276 -83.7981924
-56.1018214 -22.7299817 -81.9023699
-56.2939122 -20.7095426 -82.0634589
-55.7873212 -21.3440713 -82.0511878
-56.1379902 -19.9285746 -82.0643753
-55.8323786 -20.3609299 -82.1507499
-55.9034422 -20.7792297 -82.0582509
-55.8930263 -22.1315511 -81.9449201
-56.1882406 -19.4367208 -86.0284492
-56.0829379 -18.4814613 -85.2344185
-55.9467785 -19.2710385 -85.8603939
-55.8284707 -18.9846810 -85.5829194
-56.0073517 -19.8220927 -86.1656889
-56.3428551 -19.2264076 -83.0285475
-56.3048981 -18.6174773 -82.4018046
-56.3991405 -18.6385158 -82.7307105
-56.1205819 -18.9533867 -83.0106735
-55.8856949 -23.3329702 -81.8162262
-56.0721569 -18.0354007 -84.7425237
-56.2824532 -17.2102675 -84.3584910
-55.9941307 -17.8045016 -84.2953324
-56.5686859 -16.7444684 -84.6376047
-56.9096841 -16.3697582 -84.9875063
-55.9944138 -19.6170118 -83.4598094
-56.1413132 -19.2885641 -83.1732303
-55.8605306 -20.4264242 -84.2573941
-55.7121336 -19.9991316 -83.8224888
-55.5183478 -24.5176777 -81.5802962
-55.5670336 -23.7290356 -81.7370191
-55.5877648 -24.0788665 -81.6791132
-56.0649149 -19.3458796 -81.9565430
-56.1054163 -18.9125258 -82.0558071
-42.4535051 -13.6461891 87.0368257
44.9926443 -19.2636307 -28.0534420
45.0844653 -18.9819224 -27.8192777
45.0233519 -19.2068052 -27.7324412
-55.7926185 -19.5394382 -81.9916502
45.3103073 -18.2133671 -28.1177498
45.5039889 -17.8699475 -27.5584254
45.2478565 -18.5569078 -27.6788827
-55.6054302 -21.5141121 -86.1410797
-55.6199178 -21.6345675 -86.0209838
-55.7087362 -21.2479569 -86.2832963
-55.7204559 -23.0044201 -81.8255395
-55.7141639 -22.6611290 -81.8660781
-55.5350259 -23.3229268 -81.7906857
-55.3910844 -20.9441036 -86.3234848
-56.2718138 -17.9720372 -82.8889832
-56.0861044 -17.7262332 -82.3265091
-56.0107008 -18.3306299 -82.0447281
-49.2586158 -0.5527250 84.1583908
-48.9637442 -0.5471256 83.6404115
-48.7542003 -0.1954513 83.8985518
-41.2458330 -2.8809207 78.6871538
-55.8724031 -20.9239535 -84.7613290
-55.4715134 -20.5651298 -86.3306224
-55.5235930 -20.0114697 -86.1445665
-55.3517714 -20.3424636 -86.2519816
-55.4304495 -22.0405087 -82.0569023
-55.4962382 -22.4751290 -81.9312409
-55.5544868 -20.8268315 -82.2719932
-55.3314500 -21.5902217 -82.2459385
-55.4981157 -21.2242659 -82.1986645
-55.7294786 -19.6179878 -86.0010609
-55.4689802 -20.6899531 -84.5669284
-55.4818138 -20.3509424 -84.1874257
-55.3186834 -21.1574771 -85.0573331
-56.2311411 -18.4099376 -83.0367431
-56.1110862 -18.0526935 -83.3342075
-56.1660491 -17.2010250 -82.8377381
-56.2076606 -17.4094755 -83.2812488
-56.1982058 -17.7584551 -83.2800865
-34.6148126 -22.1350342 89.8945332
-34.3907662 -22.5991290 90.0712609
-34.0279453 -22.4855319 89.7355452
-34.8513052 -22.5632563 90.3458968
-34.4340652 -22.9041930 90.2936012
-34.0168923 -22.9819398 90.0136903
-35.3013165 -22.0422242 90.1635811
-35.0425169 -21.6907859 89.7648558
-34.4355516 -21.6378998 89.4397125
-34.2252254 -22.0809653 89.6283537
-35.2722704 -22.4089827 90.4762149
-35.2762975 -22.8071027 90.7802284
-34.6778519 -23.1857039 90.6330422
-55.9429862 -18.4792075 -83.3640024
-55.7912327 -18.8463889 -83.3353922
-55.7836629 -19.1456918 -83.2024366
-55.9471697 -19.1409942 -82.9721987
-55.9109002 -19.1516839 -83.0255300
-36.0003598 -21.8415409 90.1975334
-35.6220342 -21.5407368 89.8177996
-35.6807150 -22.3186985 90.5676559
-55.8303334 -17.8105533 -81.9207504
-55.8012314 -17.2197968 -81.9753706
