# 3D Systems, Inc.
# New Model
-52.5564104 -33.9840092 -83.7585926
-52.2858538 -37.2453630 -83.7775022
-52.3943417 -32.7601172 -82.6214477
-52.4733551 -33.2125463 -82.7832222
-52.6172332 -28.1343032 -87.4721780
-52.3467474 -27.7435556 -87.2159749
-52.2464775 -28.7028756 -88.0019218
-52.5113828 -28.3859186 -87.6780525
-52.5775142 -28.0751437 -88.5632262
-52.2475243 -28.5202023 -88.5382444
-52.6759140 -32.3028602 -82.9109699
-52.5481217 -31.7613594 -82.9620212
-52.7696274 -27.7190078 -88.5990635
-52.3292311 -27.6312102 -88.6501074
-52.7536497 -27.4328161 -88.6378586
-52.3928218 -32.2604217 -82.6820731
65.5898303 -10.6352651 4.9445713
65.5077696 -10.5031617 4.6304553
65.4745623 -10.3701772 4.8336084
-52.6613593 -30.9340917 -83.3572447
-52.7561158 -30.2305538 -83.7299079
-52.2749983 -28.9960001 -83.8920027
-52.4709560 -29.7252145 -83.6909264
-51.9610755 -37.8460772 -83.6293101
-51.7560840 -38.6840068 -83.6294740
-51.9459993 -28.9910007 -84.5580027
-52.3383208 -30.1859193 -83.3342969
-51.8139526 -36.8603766 -83.7980807
-51.6830385 -37.3989865 -83.6031511
68.1049749 -8.6340588 7.2458084
68.4273243 -8.6272322 7.2388351
68.3102757 -8.9701237 7.3516662
67.6280633 -9.7934166 -2.9973874
67.6318333 -9.3957577 -3.3771882
67.2810152 -9.4229365 -3.1573670
-52.1008819 -31.9974907 -82.4949518
-52.2774458 -31.2288888 -82.8792527
-52.1536171 -31.5715820 -82.6507360
-51.8480018 -28.3310004 -85.1809978
-51.9410297 -28.0279368 -85.1896927
-52.5170006 -27.5919996 -84.8290026
-52.2310063 -28.1358100 -88.6195451
-51.8282689 -36.4344381 -83.9881152
-51.7139211 -35.5198421 -84.4412446
-51.6818799 -36.0515118 -84.1974169
-52.1556735 -29.6146777 -83.3972394
-52.2056818 -32.3888995 -82.4921802
-52.1265939 -30.6664649 -82.9201192
48.0542332 -50.1640439 -39.2116867
48.2390709 -50.4865311 -39.4790024
47.9057245 -50.3240712 -39.7291817
-52.0231761 -34.6550643 -84.4674259
-51.8384241 -35.0203589 -84.5348537
-52.1290004 -33.2470015 -82.4349970
-52.3448959 -33.6718969 -83.7157592
-52.0949997 -33.1609994 -83.8660002
52.6079610 -52.2408038 -34.5106907
52.7875982 -52.1951094 -33.9136310
53.1836785 -52.6468381 -34.1565646
-51.8979840 -32.4652903 -82.2583884
-51.7117456 -33.1665911 -82.1076110
-52.3409992 -33.8350013 -83.9999989
51.9822054 -48.9061065 -10.7056974
